id,subject_id,sessionnr,trialnr,startduration,directiontoend,statesequence,cue_type,cue_begin,cue_end,state_duration,state,state_index,side,rung,touch_begin,touch_end,mouseside
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,8107,1,0,0,37,18626,18890,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,1,261,395,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,2,0,455,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,2,14947,15011,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,4,15001,15106,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,2,15026,15152,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,3,15106,15173,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,6,15086,15183,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,4,15127,15239,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,7,15162,15274,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,8,15259,15306,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,5,15213,15326,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,10,15285,15326,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,9,15316,15347,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,10,15337,15492,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,7,15295,15527,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,12,15612,15692,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,10,15512,15703,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,13,15677,15739,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,12,15718,15794,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,14,15728,15839,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,11,15447,15855,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,15,15784,15950,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,17,15980,16026,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,15,15970,16264,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,17,15991,16295,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,14,15865,16325,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,18,16209,16381,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,20,16370,16431,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,17,16315,16452,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,20,16452,16478,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,21,16442,16488,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,21,16462,16499,0
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,18,16401,16509,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,21,16540,16572,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,1,22,16520,16582,1
832,189,1,1,8107,1,1-2-1-3-4-6,4,22861,23108,957,2,1,0,21,16551,16592,0
