id,subject_id,sessionnr,trialnr,startduration,directiontoend,statesequence,cue_type,cue_begin,cue_end,state_duration,state,state_index,side,rung,touch_begin,touch_end,mouseside
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,9,16756,17102,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,11,16997,17168,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,1,8,16820,17241,1
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,1,12,17096,17331,1
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,11,17190,17389,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,13,17292,17437,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,13,17458,17617,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,15,17480,17666,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,1,12,17353,17715,1
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,1,16,17672,17799,1
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,15,17688,17863,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,17,17808,17908,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,17,17933,18017,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,19,17951,18096,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,1,16,17821,18105,1
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,19,18117,18378,0
5234,751,1,1,7326,1,1-2-1-3-4-6,4,21020,21516,661,2,1,0,23,18267,18471,0
